_excel_row,Id,nomeMunicipio,nomePrograma,nomeFuncao,nomeSubFuncao,nomeAcaoOrcamentaria,Area Tematica LLM,Gasto E ou NE LLM,Confianca,Justificativa,Campos faltantes ou duvidas,Requer revisao humana
2,24215783,Alvorada,ACAO LEGISLATIVA,LEGISLATIVA,ACAO LEGISLATIVA,MANUTENCAO DE ATIVIDADE ADMINISTRATIVA DA CAMARA MUNICIPAL,nao se aplica,-,Alta,"Acao legislativa administrativa sem evidencia de beneficio direto ou indireto ao publico da primeira infancia.",,Nao
3,24216016,Alvorada,GESTAO E MANUTENCAO DE SERVICO AO MUNICIPIO,ESSENCIAL A JUSTICA,DEFESA DA ORDEM JURIDICA,MANUTENCAO DA PROCURADORIA GERAL,nao se aplica,-,Alta,"Despesa de manutencao da procuradoria geral; nao ha conexao finalistica com criancas de 0 a 6 anos, gestantes ou lactantes.",,Nao
4,24216032,Alvorada,GESTAO E MANUTENCAO DE SERVICO AO MUNICIPIO,ADMINISTRACAO,ADMINISTRACAO FINANCEIRA,GESTAO DA SECRETARIA MUNICIPAL DE FINANCAS (SEFIN),nao se aplica,-,Alta,"Gestao financeira geral do municipio, sem finalidade ligada ao GSPI-M.",,Nao
5,24216034,Alvorada,EDUCACAO E FORMACAO CIDADA,EDUCACAO,ADMINISTRACAO GERAL,MANUTENCAO DO FUNDO MUNICIPAL DE EDUCACAO - FME,Educacao Infantil,Nao Especifico,Media,"Despesa-meio de educacao pode beneficiar educacao infantil como parte da politica educacional; exemplos humanos incluem gestao administrativa da educacao como Educacao Infantil nao especifica, mas ha ambiguidade por nao citar educacao infantil diretamente.","Verificar regra local para rateio de administracao geral da educacao.",Sim
6,24216040,Alvorada,SAUDE DIREITO DO CIDADAO,SAUDE,ATENCAO BASICA,MANUTENCAO DO PROGRAMA ESTRATEGIA SAUDE DA FAMILIA,Saude Materno-infantil,Nao Especifico,Alta,"Estrategia Saude da Familia integra atencao basica e beneficia tambem criancas pequenas, gestantes e familias, mas nao exclusivamente.",,Nao
7,24216047,Alvorada,GESTAO E MANUTENCAO DE SERVICO AO MUNICIPIO,ADMINISTRACAO,ADMINISTRACAO FINANCEIRA,MANUTENCAO DA SECRETARIA DE ADMINISTRACAO,nao se aplica,-,Alta,"Administracao financeira geral sem vinculo finalistico com area GSPI-M.",,Nao
8,24216057,Alvorada,SAUDE DIREITO DO CIDADAO,SAUDE,VIGILANCIA EPIDEMIOLOGICA,REALIZACAO DAS ACOES DE VIGILANCIA EM SAUDE,Saude Materno-infantil,Nao Especifico,Alta,"Vigilancia em saude inclui vigilancia epidemiologica e beneficia a primeira infancia de forma ampliada.",,Nao
9,24216059,Alvorada,GARANTIA DOS DIREITOS DAS MULHERES,DIREITOS DA CIDADANIA,ASSISTENCIA COMUNITARIA,GESTAO DA SECRETARIA MUNICIPAL DE POLITICAS PARA MULHERES,Protecao dos Direitos da Crianca e da Familia,Nao Especifico,Baixa,"Politicas para mulheres podem beneficiar gestantes, lactantes e familias de forma ampliada, mas a linha nao explicita publico da primeira infancia; exemplo humano semelhante de conselho da mulher foi classificado em direitos da crianca e familia.","Confirmar se a secretaria executa acoes com gestantes, lactantes ou primeira infancia.",Sim
10,24216062,Alvorada,SAUDE DIREITO DO CIDADAO,SAUDE,ATENCAO BASICA,MANUTENCAO DO PROGRAMA DE AGENTE COMUNITARIO EM SAUDE (ACS),Saude Materno-infantil,Nao Especifico,Alta,"Agentes comunitarios em saude integram atencao basica e alcancam familias, gestantes e criancas pequenas de forma ampliada.",,Nao
11,24216107,Alvorada,ASSISTENCIA SOCIAL,ASSISTENCIA SOCIAL,ASSISTENCIA COMUNITARIA,MANUTENCAO DO CENTRO DE REFERENCIA ESPECIALIZADO DE ASSISTENCIA SOCIAL - CREAS,Assistencia Social,Nao Especifico,Alta,"CREAS e protecao social especial atendem familias e individuos vulneraveis, incluindo primeira infancia de forma nao exclusiva.",,Nao
12,24216138,Alvorada,GESTAO E MANUTENCAO DE SERVICO AO MUNICIPIO,ADMINISTRACAO,ADMINISTRACAO FINANCEIRA,MANUTENCAO DA SECRETARIA DE ADMINISTRACAO,nao se aplica,-,Alta,"Administracao financeira geral sem vinculo finalistico com GSPI-M.",,Nao
13,24216155,Alvorada,SAUDE DIREITO DO CIDADAO,SAUDE,ATENCAO BASICA,MANUTENCAO DO PROGRAMA ESTRATEGIA SAUDE DA FAMILIA,Saude Materno-infantil,Nao Especifico,Alta,"Estrategia Saude da Familia integra atencao basica e beneficia o publico da primeira infancia de modo ampliado.",,Nao
14,24216161,Alvorada,SAUDE DIREITO DO CIDADAO,SAUDE,ADMINISTRACAO GERAL,MANUTENCAO DO FUNDO MUNICIPAL DE SAUDE (FMS),Saude Materno-infantil,Nao Especifico,Media,"Despesa-meio de saude pode sustentar politicas de saude que beneficiam criancas pequenas, gestantes e lactantes; exemplos humanos similares classificam FMS como saude materno-infantil nao especifica.","Confirmar se a regra de rateio para gestao geral de saude sera mantida.",Sim
15,24216162,Alvorada,EDUCACAO E FORMACAO CIDADA,EDUCACAO,ENSINO FUNDAMENTAL,REMUNERACAO DE PROFISSIONAL DA EDUCACAO - ENSINO FUNDAMENTAL - FUNDEB 70%,nao se aplica,-,Alta,"Ensino fundamental nao corresponde diretamente a educacao infantil; exemplos humanos similares de ensino fundamental ficam fora do GSPI-M.",,Nao
16,24215798,Alvorada,"CULTURA, ESPORTE E LAZER",CULTURA,DIFUSAO CULTURAL,GESTAO DA SECRETARIA MUNICIPAL DE CULTURA,nao se aplica,-,Media,"Gestao geral de cultura nao demonstra acao especifica de brincar, lazer ou cultura voltada a criancas de 0 a 6 anos; area possui regra restritiva para despesas-meio.","Revisar se houver programa municipal de cultura voltado explicitamente a primeira infancia.",Sim
